structure_id,run_name,formula,natoms,li_count,target_temperature_K,reported_temperature_K,target_md_steps,reported_md_steps,ensemble,calculation_time_s,energy_eV,energy_per_atom_eV,fmax_eV_per_A,fmean_eV_per_A,frms_eV_per_A,device,model_path,outcar_exists,xdatcar_exists,min_pair_distance_A,min_pair_label,frames_saved,save_interval_steps,trajectory_time_ps,li_msd_last_A2,li_rmsd_last_A,li_msd_slope_last_half_A2_per_ps,li_diffusion_last_half_cm2_per_s
gb_Sigma3_t3,md_600K_200steps,Cl48Li288P48S240,624,288,600,387.15726246423975,200,200,NVT,60.985589265823364,-2515.425871236911,-4.031131203905306,3.4098398685455322,0.6126924753189087,0.7412195205688477,cuda,/root/models/uma-s-1p2.pt,True,True,1.9167812684592016,S-S,11,20,0.2,0.42184091563622655,0.6494928141528793,1.7778636318880354,2.9631060531467257e-05
gb_Sigma3_t3,md_600K_1000steps,Cl48Li288P48S240,624,288,600,506.76621149680676,1000,1000,NVT,294.63166785240173,-2507.2720795948626,-4.018064230119972,3.3535640239715576,0.7109037637710571,0.8652103543281555,cuda,/root/models/uma-s-1p2.pt,True,True,1.8819601756850772,S-S,51,20,1.0,1.5452564201860066,1.2430834325120768,1.2981215538729,2.1635359231215e-05
gb_Sigma3_t3,md_600K_20000steps,Cl48Li288P48S240,624,288,600,632.1157858172332,20000,20000,NVT,6132.201079368591,-2514.7090074015073,-4.029982383656262,3.927560567855835,0.8106593489646912,0.982744038105011,cuda,/root/models/uma-s-1p2.pt,True,True,1.8776052505125023,S-S,201,100,20.0,19.127592632211627,4.37351033292613,0.661113403794479,1.1018556729907985e-05
gb_Sigma3_t3,md_700K_1000steps,Cl48Li288P48S240,624,288,700,597.7801714397103,1000,1000,NVT,309.80230021476746,-2502.053806473567,-4.009701612938408,2.8556857109069824,0.7247103452682495,0.8549389243125916,cuda,/root/models/uma-s-1p2.pt,True,True,1.9343670592789,P-S,51,20,1.0,2.068912074166404,1.438371326941136,1.9689324140875846,3.281554023479308e-05
gb_Sigma3_t3,md_700K_20000steps,Cl48Li288P48S240,624,288,700,717.0439049061656,20000,20000,NVT,6050.86393904686,-2510.4001781491315,-4.023077208572326,4.043278694152832,0.8481095433235168,1.00076162815094,cuda,/root/models/uma-s-1p2.pt,True,True,1.9278530979468527,P-S,201,100,20.0,30.799025144117657,5.549686941091151,1.1494527885288235,1.9157546475480393e-05
gb_Sigma3_t3,md_800K_20000steps,Cl48Li288P48S240,624,288,800,806.1304902874579,20000,20000,NVT,6112.974632978439,-2498.428042033801,-4.003891093002886,3.8318045139312744,0.8887839913368225,1.0509189367294312,cuda,/root/models/uma-s-1p2.pt,True,True,1.9054822450038018,P-S,201,100,20.0,37.77930836455798,6.146487481851564,1.4620160722184639,2.4366934536974397e-05
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_1000steps,Cl48Li287P48S240,623,287,600,505.77020691220054,1000,1000,NVT,294.2880392074585,-2503.944415544469,-4.019172416604284,3.626542091369629,0.7012202143669128,0.8466314077377319,cuda,/root/models/uma-s-1p2.pt,True,True,1.9475536572139893,P-S,51,20,1.0,1.33657351826809,1.156102728250431,1.0622348072305798,1.7703913453842998e-05
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_20000steps,Cl48Li287P48S240,623,287,600,614.5024097306496,20000,20000,NVT,6166.521488428116,-2509.734430006216,-4.028466179785259,3.733269691467285,0.8042658567428589,0.986916184425354,cuda,/root/models/uma-s-1p2.pt,True,True,1.8797838594809522,P-S,201,100,20.0,18.118567242389485,4.256591035369675,0.6839085249734344,1.1398475416223907e-05
gb_Sigma3_t3_Li_vac_c1_s1,md_700K_1000steps,Cl48Li287P48S240,623,287,700,587.9533245974394,1000,1000,NVT,307.1982538700104,-2498.491403226206,-4.010419587843027,3.8793344497680664,0.7733861804008484,0.9528935551643372,cuda,/root/models/uma-s-1p2.pt,True,True,1.9177911628392899,P-S,51,20,1.0,1.5127559267363615,1.229941432238284,1.0046358358090965,1.674393059681828e-05
gb_Sigma3_t3_Li_vac_c1_s1,md_700K_20000steps,Cl48Li287P48S240,623,287,700,693.9450592029095,20000,20000,NVT,6117.749988079071,-2500.759299706937,-4.014059871118679,3.4507012367248535,0.8496996164321899,1.0068011283874512,cuda,/root/models/uma-s-1p2.pt,True,True,1.9412144355658176,P-S,201,100,20.0,25.52172441215894,5.051903048570799,1.034478357332636,1.7241305955543933e-05
gb_Sigma3_t3_Li_vac_c1_s1,md_800K_20000steps,Cl48Li287P48S240,623,287,800,812.3166034323672,20000,20000,NVT,6015.7771735191345,-2497.5553421633094,-4.008917082124092,3.588252305984497,0.9300862550735474,1.1244102716445923,cuda,/root/models/uma-s-1p2.pt,True,True,1.92361071370208,P-S,201,100,20.0,34.774205262793345,5.896965767476808,1.307158395283463,2.178597325472438e-05
gb_Sigma3_t3_Li_vac_c2_s2,md_600K_1000steps,Cl48Li286P48S240,622,286,600,508.2174851336908,1000,1000,NVT,316.02459955215454,-2498.0241753996193,-4.016116037619967,3.674272298812866,0.730105459690094,0.8945882320404053,cuda,/root/models/uma-s-1p2.pt,True,True,1.8906577970807898,P-S,51,20,1.0,2.118864677397583,1.4556320542628838,2.294884090697549,3.824806817829249e-05
gb_Sigma3_t3_Li_vac_c2_s2,md_700K_1000steps,Cl48Li286P48S240,622,286,700,582.4037128853998,1000,1000,NVT,312.43539595603943,-2491.7303257648123,-4.005997308303557,3.483015537261963,0.7767546772956848,0.9303872585296631,cuda,/root/models/uma-s-1p2.pt,True,True,1.8989254098540702,P-S,51,20,1.0,1.925529271284291,1.3876344155736016,1.6181836936790734,2.696972822798456e-05
