structure_id,source_path,formula,structure_class,is_bulk,is_gb,translation_state,translation_index,li_vac_region,vacancy_count,has_vacancy,natoms,li_count,p_count,s_count,cl_count,lattice_a_A,lattice_b_A,lattice_c_A,volume_ang3,mass_density_g_cm3,li_fraction,li_number_density_per_A3,gb_delta_A,gb_z0_A,min_pair_distance_A,min_pair_label,li_s_nn_mean_A,li_s_nn_std_A,li_s_nn_min_A,li_s_nn_max_A,li_cl_nn_mean_A,li_cl_nn_std_A,li_cl_nn_min_A,li_cl_nn_max_A,li_li_nn_mean_A,li_li_nn_std_A,li_li_nn_min_A,li_li_nn_max_A,p_s_nn_mean_A,p_s_nn_std_A,p_s_nn_min_A,p_s_nn_max_A,li_s_coord_3p0_mean,li_s_coord_3p0_std,li_cl_coord_3p5_mean,li_cl_coord_3p5_std
gb_Sigma3_t2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2\POSCAR,Li288P48S240Cl48,gb,0,1,t2,2,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,2.0589754788519206,P-S,2.332124999687501,3.472295355119233e-15,2.3321249996874878,2.3321249996875086,3.6424894003138473,3.0597785947301505e-15,3.642489400313838,3.64248940031386,3.145375992371202,0.3415522534940962,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6666666666666665,0.7453559924999299,0.0,0.0
gb_Sigma3_t2_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875006,3.453556810670787e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.0525242131918876e-15,3.642489400313838,3.64248940031386,3.144843773516372,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0
gb_Sigma3_t2_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875,3.4731991788334257e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.050722782398706e-15,3.642489400313838,3.64248940031386,3.1448437735163726,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0
gb_Sigma3_t2_Li_vac_c2_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c2_s1\POSCAR,Li286P48S240Cl48,gb,0,1,t2,2,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875006,3.4370926367966366e-15,2.3321249996874878,2.3321249996875086,3.6424894003138477,3.0286262090887485e-15,3.642489400313838,3.64248940031386,3.1443078328513687,0.3425046463111815,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.664335664335664,0.7474343617279656,0.0,0.0
gb_Sigma3_t2_Li_vac_c2_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c2_s2\POSCAR,Li286P48S240Cl48,gb,0,1,t2,2,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875006,3.436992323266567e-15,2.3321249996874878,2.3321249996875086,3.6424894003138477,3.021445713477881e-15,3.642489400313838,3.64248940031386,3.1443078328513687,0.3425046463111815,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.664335664335664,0.7474343617279656,0.0,0.0
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0
gb_Sigma3_t3_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t3,3,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875,3.684968093516862e-15,2.3321249996874878,2.332124999687513,3.642489400313848,3.0858836773553096e-15,3.6424894003138375,3.642489400313864,3.120064532944006,0.4005564058927038,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6933797909407664,0.7009635518734256,0.0,0.0
gb_Sigma3_t3_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t3,3,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875,3.685620704536504e-15,2.3321249996874878,2.332124999687513,3.642489400313848,3.0858836773553096e-15,3.6424894003138375,3.642489400313864,3.120064532944006,0.4005564058927038,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6933797909407664,0.7009635518734256,0.0,0.0
gb_Sigma3_t3_Li_vac_c2_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3_Li_vac_c2_s1\POSCAR,Li286P48S240Cl48,gb,0,1,t3,3,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.670517146712137e-15,2.3321249996874878,2.332124999687513,3.6424894003138486,3.1473136096685297e-15,3.6424894003138375,3.642489400313864,3.1194419515777003,0.4011174253939397,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6923076923076925,0.7019530121023555,0.0,0.0
gb_Sigma3_t3_Li_vac_c2_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3_Li_vac_c2_s2\POSCAR,Li286P48S240Cl48,gb,0,1,t3,3,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.662618294489236e-15,2.3321249996874878,2.332124999687513,3.6424894003138486,3.1141651008535814e-15,3.6424894003138375,3.642489400313864,3.1194419515777003,0.4011174253939397,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6923076923076925,0.7019530121023555,0.0,0.0
