structure_id,temperature_K,distance_bin_A,count
bulk_Li_vac_c2_s2,500,2.625,0
bulk_Li_vac_c2_s2,600,1.625,663
bulk_Li_vac_c2_s2,600,1.875,212
bulk_Li_vac_c2_s2,600,2.125,53
bulk_Li_vac_c2_s2,600,2.375,10
bulk_Li_vac_c2_s2,600,2.625,2
bulk_Li_vac_c2_s2,600,2.875,0
bulk_Li_vac_c2_s2,700,1.625,1030
bulk_Li_vac_c2_s2,700,1.875,372
bulk_Li_vac_c2_s2,700,2.125,145
bulk_Li_vac_c2_s2,700,2.375,39
bulk_Li_vac_c2_s2,700,2.625,15
bulk_Li_vac_c2_s2,700,2.875,2
bulk_Li_vac_c2_s2,700,3.125,0
bulk_Li_vac_c2_s2,800,1.625,1386
bulk_Li_vac_c2_s2,800,1.875,606
bulk_Li_vac_c2_s2,800,2.125,263
bulk_Li_vac_c2_s2,800,2.375,91
bulk_Li_vac_c2_s2,800,2.625,26
bulk_Li_vac_c2_s2,800,2.875,6
bulk_Li_vac_c2_s2,800,3.125,2
bulk_Li_vac_c2_s2,800,3.375,1
bulk_Li_vac_c2_s2,800,3.625,0
bulk_Li_vac_c2_s2,900,1.625,1613
bulk_Li_vac_c2_s2,900,1.875,802
bulk_Li_vac_c2_s2,900,2.125,337
bulk_Li_vac_c2_s2,900,2.375,144
bulk_Li_vac_c2_s2,900,2.625,63
bulk_Li_vac_c2_s2,900,2.875,16
bulk_Li_vac_c2_s2,900,3.125,5
bulk_Li_vac_c2_s2,900,3.375,1
bulk_Li_vac_c2_s2,900,3.625,0
bulk_ordered,500,1.625,358
bulk_ordered,500,1.875,90
bulk_ordered,500,2.125,18
bulk_ordered,500,2.375,3
bulk_ordered,500,2.625,1
bulk_ordered,500,2.875,0
bulk_ordered,600,1.625,647
bulk_ordered,600,1.875,210
bulk_ordered,600,2.125,52
bulk_ordered,600,2.375,14
bulk_ordered,600,2.625,0
bulk_ordered,600,2.875,1
bulk_ordered,600,3.125,0
bulk_ordered,700,1.625,902
bulk_ordered,700,1.875,342
bulk_ordered,700,2.125,115
bulk_ordered,700,2.375,31
bulk_ordered,700,2.625,4
bulk_ordered,700,2.875,2
bulk_ordered,700,3.125,0
bulk_ordered,800,1.625,1338
bulk_ordered,800,1.875,576
bulk_ordered,800,2.125,223
bulk_ordered,800,2.375,85
bulk_ordered,800,2.625,32
bulk_ordered,800,2.875,10
bulk_ordered,800,3.125,2
bulk_ordered,800,3.375,0
bulk_ordered,900,1.625,1645
bulk_ordered,900,1.875,791
bulk_ordered,900,2.125,343
bulk_ordered,900,2.375,150
bulk_ordered,900,2.625,50
bulk_ordered,900,2.875,17
bulk_ordered,900,3.125,7
bulk_ordered,900,3.375,1
bulk_ordered,900,3.625,0
gb_Sigma3_t1,500,1.625,545
gb_Sigma3_t1,500,1.875,145
gb_Sigma3_t1,500,2.125,42
gb_Sigma3_t1,500,2.375,12
gb_Sigma3_t1,500,2.625,3
gb_Sigma3_t1,500,2.875,0
gb_Sigma3_t1,600,1.625,985
gb_Sigma3_t1,600,1.875,342
gb_Sigma3_t1,600,2.125,105
gb_Sigma3_t1,600,2.375,28
gb_Sigma3_t1,600,2.625,6
gb_Sigma3_t1,600,2.875,2
gb_Sigma3_t1,600,3.125,0
gb_Sigma3_t1,700,1.625,1449
gb_Sigma3_t1,700,1.875,567
gb_Sigma3_t1,700,2.125,222
gb_Sigma3_t1,700,2.375,58
gb_Sigma3_t1,700,2.625,19
gb_Sigma3_t1,700,2.875,5
gb_Sigma3_t1,700,3.125,2
gb_Sigma3_t1,700,3.375,0
gb_Sigma3_t1,800,1.625,1966
gb_Sigma3_t1,800,1.875,947
gb_Sigma3_t1,800,2.125,399
gb_Sigma3_t1,800,2.375,129
gb_Sigma3_t1,800,2.625,51
gb_Sigma3_t1,800,2.875,9
gb_Sigma3_t1,800,3.125,6
gb_Sigma3_t1,800,3.375,3
gb_Sigma3_t1,800,3.625,0
gb_Sigma3_t1,900,1.625,2584
gb_Sigma3_t1,900,1.875,1349
gb_Sigma3_t1,900,2.125,583
gb_Sigma3_t1,900,2.375,239
gb_Sigma3_t1,900,2.625,97
gb_Sigma3_t1,900,2.875,37
gb_Sigma3_t1,900,3.125,7
gb_Sigma3_t1,900,3.375,4
gb_Sigma3_t1,900,3.625,2
gb_Sigma3_t1,900,3.875,1
gb_Sigma3_t1,900,4.125,0
gb_Sigma3_t1_Li_vac_c1_s1,500,1.625,450
gb_Sigma3_t1_Li_vac_c1_s1,500,1.875,115
gb_Sigma3_t1_Li_vac_c1_s1,500,2.125,38
gb_Sigma3_t1_Li_vac_c1_s1,500,2.375,7
gb_Sigma3_t1_Li_vac_c1_s1,500,2.625,1
gb_Sigma3_t1_Li_vac_c1_s1,500,2.875,0
gb_Sigma3_t1_Li_vac_c1_s1,600,1.625,944
gb_Sigma3_t1_Li_vac_c1_s1,600,1.875,306
gb_Sigma3_t1_Li_vac_c1_s1,600,2.125,87
gb_Sigma3_t1_Li_vac_c1_s1,600,2.375,28
gb_Sigma3_t1_Li_vac_c1_s1,600,2.625,8
gb_Sigma3_t1_Li_vac_c1_s1,600,2.875,1
gb_Sigma3_t1_Li_vac_c1_s1,600,3.125,0
gb_Sigma3_t1_Li_vac_c1_s1,700,1.625,1482
gb_Sigma3_t1_Li_vac_c1_s1,700,1.875,566
gb_Sigma3_t1_Li_vac_c1_s1,700,2.125,176
gb_Sigma3_t1_Li_vac_c1_s1,700,2.375,68
gb_Sigma3_t1_Li_vac_c1_s1,700,2.625,19
gb_Sigma3_t1_Li_vac_c1_s1,700,2.875,4
gb_Sigma3_t1_Li_vac_c1_s1,700,3.125,1
gb_Sigma3_t1_Li_vac_c1_s1,700,3.375,0
gb_Sigma3_t1_Li_vac_c1_s1,800,1.625,1887
gb_Sigma3_t1_Li_vac_c1_s1,800,1.875,874
gb_Sigma3_t1_Li_vac_c1_s1,800,2.125,350
gb_Sigma3_t1_Li_vac_c1_s1,800,2.375,169
gb_Sigma3_t1_Li_vac_c1_s1,800,2.625,58
gb_Sigma3_t1_Li_vac_c1_s1,800,2.875,15
gb_Sigma3_t1_Li_vac_c1_s1,800,3.125,7
gb_Sigma3_t1_Li_vac_c1_s1,800,3.375,0
gb_Sigma3_t1_Li_vac_c1_s1,900,1.625,2488
gb_Sigma3_t1_Li_vac_c1_s1,900,1.875,1214
gb_Sigma3_t1_Li_vac_c1_s1,900,2.125,613
gb_Sigma3_t1_Li_vac_c1_s1,900,2.375,227
gb_Sigma3_t1_Li_vac_c1_s1,900,2.625,90
gb_Sigma3_t1_Li_vac_c1_s1,900,2.875,27
gb_Sigma3_t1_Li_vac_c1_s1,900,3.125,5
gb_Sigma3_t1_Li_vac_c1_s1,900,3.375,3
gb_Sigma3_t1_Li_vac_c1_s1,900,3.625,2
gb_Sigma3_t1_Li_vac_c1_s1,900,3.875,0
gb_Sigma3_t1_Li_vac_c1_s2,500,1.625,641
gb_Sigma3_t1_Li_vac_c1_s2,500,1.875,215
gb_Sigma3_t1_Li_vac_c1_s2,500,2.125,81
gb_Sigma3_t1_Li_vac_c1_s2,500,2.375,30
