structure_id,temperature_K,1000_over_T,log10_D,D_cm2_s,D_err
gb_Sigma3_t2,900,1.1111111111111112,-4.444496986277067,3.593378903193847e-05,6.66050176950975e-06
gb_Sigma3_t2_Li_vac_c1_s1,500,2.0,-5.194833966359257,6.38507545174699e-06,2.2412029696405423e-06
gb_Sigma3_t2_Li_vac_c1_s1,600,1.6666666666666667,-5.14826711377643,7.1077621471189446e-06,2.4582496125757795e-06
gb_Sigma3_t2_Li_vac_c1_s1,700,1.4285714285714286,-4.683103094045229,2.0744210271067437e-05,1.2159555507338818e-06
gb_Sigma3_t2_Li_vac_c1_s1,800,1.25,-4.557953909210935,2.76723531087715e-05,2.8210741135748944e-06
gb_Sigma3_t2_Li_vac_c1_s1,900,1.1111111111111112,-4.459003485988767,3.475333718560872e-05,5.321099515332013e-07
gb_Sigma3_t2_Li_vac_c1_s2,500,2.0,-5.164687830933593,6.844034168473899e-06,9.952089879292082e-07
gb_Sigma3_t2_Li_vac_c1_s2,600,1.6666666666666667,-4.893612737121609,1.277577524236326e-05,2.3004230647572867e-06
gb_Sigma3_t2_Li_vac_c1_s2,700,1.4285714285714286,-4.681956392750028,2.0799055186921448e-05,2.472450969111264e-06
gb_Sigma3_t2_Li_vac_c1_s2,800,1.25,-4.599080541346719,2.517210059545843e-05,2.001048601501332e-06
gb_Sigma3_t2_Li_vac_c1_s2,900,1.1111111111111112,-4.256146383647504,5.544388018708187e-05,2.740185264007091e-06
gb_Sigma3_t2_Li_vac_c2_s1,500,2.0,-5.143881737593979,7.1798977991421895e-06,1.1356036153968534e-06
gb_Sigma3_t2_Li_vac_c2_s1,600,1.6666666666666667,-5.030700713231066,9.31749754011168e-06,2.783133218343556e-06
gb_Sigma3_t2_Li_vac_c2_s1,700,1.4285714285714286,-4.739046733028122,1.823699449346437e-05,3.690356451770931e-06
gb_Sigma3_t2_Li_vac_c2_s1,800,1.25,-4.4992700968394335,3.1675968554609024e-05,1.1860101639652426e-06
gb_Sigma3_t2_Li_vac_c2_s1,900,1.1111111111111112,-4.381911048719961,4.150390413507431e-05,6.500160704200326e-06
gb_Sigma3_t2_Li_vac_c2_s2,500,2.0,-5.334807763095308,4.625857358854777e-06,3.01387504727662e-06
gb_Sigma3_t2_Li_vac_c2_s2,600,1.6666666666666667,-4.931536507980896,1.1707481818922144e-05,8.062684196157626e-07
gb_Sigma3_t2_Li_vac_c2_s2,700,1.4285714285714286,-4.688836457717011,2.047215411544593e-05,4.016119898771931e-06
gb_Sigma3_t2_Li_vac_c2_s2,800,1.25,-4.52308942405843,2.9985450354928675e-05,3.794923477775265e-06
gb_Sigma3_t2_Li_vac_c2_s2,900,1.1111111111111112,-4.449066299905063,3.555770316185746e-05,5.55767217433197e-06
gb_Sigma3_t3,500,2.0,-5.104086128200497,7.86889720209565e-06,1.4451303274334195e-06
gb_Sigma3_t3,600,1.6666666666666667,-4.957875287996591,1.1018556729907984e-05,1.553179847140302e-06
gb_Sigma3_t3,700,1.4285714285714286,-4.717660112188074,1.9157546475480397e-05,2.840031126722815e-06
gb_Sigma3_t3,800,1.25,-4.613199103454399,2.43669345369744e-05,4.341480069647637e-06
gb_Sigma3_t3,900,1.1111111111111112,-4.420401091685007,3.798384353543343e-05,4.603180737712117e-06
gb_Sigma3_t3_Li_vac_c1_s1,500,2.0,-5.289736808877745,5.131722824198765e-06,8.709134993217218e-07
gb_Sigma3_t3_Li_vac_c1_s1,600,1.6666666666666667,-4.943153233102075,1.1398475416223907e-05,2.466389391024449e-06
gb_Sigma3_t3_Li_vac_c1_s1,700,1.4285714285714286,-4.763429841306812,1.7241305955543933e-05,2.774616833462725e-06
gb_Sigma3_t3_Li_vac_c1_s1,800,1.25,-4.661823033859286,2.178597325472438e-05,4.196227217321056e-06
gb_Sigma3_t3_Li_vac_c1_s1,900,1.1111111111111112,-4.373213680052182,4.234345779883253e-05,3.051724944464628e-06
gb_Sigma3_t3_Li_vac_c1_s2,500,2.0,-5.227810268801647,5.918201274853522e-06,1.8478623621358808e-06
gb_Sigma3_t3_Li_vac_c1_s2,600,1.6666666666666667,-4.828521698867461,1.4841517248140545e-05,1.4675406541841556e-06
gb_Sigma3_t3_Li_vac_c1_s2,700,1.4285714285714286,-4.718498993095863,1.912057757671761e-05,2.714180598965583e-06
gb_Sigma3_t3_Li_vac_c1_s2,800,1.25,-4.5522778928590055,2.8036390938467576e-05,4.138440597441215e-06
gb_Sigma3_t3_Li_vac_c1_s2,900,1.1111111111111112,-4.230391885260949,5.883125524339669e-05,1.3283554881245836e-05
gb_Sigma3_t3_Li_vac_c2_s1,500,2.0,-5.368964226167297,4.275981069378935e-06,2.344763730377793e-06
gb_Sigma3_t3_Li_vac_c2_s1,600,1.6666666666666667,-4.744751146749994,1.7999019739405977e-05,2.4580123963961646e-06
gb_Sigma3_t3_Li_vac_c2_s1,700,1.4285714285714286,-4.71140628419252,1.9435410406230077e-05,3.5326749995485086e-06
gb_Sigma3_t3_Li_vac_c2_s1,800,1.25,-4.440950182970838,3.622845529512589e-05,6.653511661641674e-06
gb_Sigma3_t3_Li_vac_c2_s1,900,1.1111111111111112,-4.368493085848775,4.280622344631746e-05,7.496687923981423e-06
gb_Sigma3_t3_Li_vac_c2_s2,500,2.0,-5.145389611222745,7.155012367484988e-06,4.274345157572e-07
gb_Sigma3_t3_Li_vac_c2_s2,600,1.6666666666666667,-4.992952583614389,1.016359653227154e-05,2.890171419031182e-06
gb_Sigma3_t3_Li_vac_c2_s2,700,1.4285714285714286,-4.811783093205776,1.542470641933071e-05,1.964543755635067e-06
gb_Sigma3_t3_Li_vac_c2_s2,800,1.25,-4.502611861249018,3.1433166917622826e-05,4.372449423671279e-06
gb_Sigma3_t3_Li_vac_c2_s2,900,1.1111111111111112,-4.47908505643745,3.318294624925061e-05,3.5340741585399376e-06
