frequency_THz,vdos
0.0,0.049392
0.1,0.017297
0.2,0.006368
0.3,0.004501
0.4,0.020778
0.5,0.017216
0.6,0.048198
0.7,0.051093
0.8,0.038092
0.9,0.01577
1.0,0.005113
1.1,0.008131
1.2,0.010486
1.3,0.004505
1.4,0.004871
1.5,0.01791
1.6,0.029432
1.7,0.036383
1.8,0.006401
1.9,0.012244
2.0,0.009976
2.1,0.012657
2.2,0.017675
2.3,0.021246
2.4,0.023585
2.5,0.025576
2.6,0.02571
2.7,0.028436
2.8,0.022058
2.9,0.010337
3.0,0.016155
3.1,0.019467
3.2,0.018441
3.3,0.017294
3.4,0.017452
3.5,0.014362
3.6,0.004094
3.7,0.004973
3.8,0.006736
3.9,0.008529
4.0,0.004315
4.1,0.004207
4.2,0.005543
4.3,0.001619
4.4,0.000632
4.5,0.001634
4.6,0.000284
4.7,0.001041
4.8,0.000963
4.9,0.000688
5.0,0.000865
