frequency_THz,vdos
0.0,0.045167
0.1,0.02467
0.2,0.002438
0.3,0.002132
0.4,0.012746
0.5,0.023265
0.6,0.026452
0.7,0.0259
0.8,0.033731
0.9,0.029696
1.0,0.008376
1.1,0.025305
1.2,0.022621
1.3,0.005663
1.4,0.045037
1.5,0.083839
1.6,0.067617
1.7,0.030433
1.8,0.012579
1.9,0.006934
2.0,0.004097
2.1,0.028444
2.2,0.037037
2.3,0.003023
2.4,0.02704
2.5,0.016122
2.6,0.004114
2.7,0.00085
2.8,0.010366
2.9,0.018363
3.0,0.015304
3.1,0.014591
3.2,0.005782
3.3,0.017355
3.4,0.011859
3.5,0.009469
3.6,0.011948
3.7,0.005973
3.8,0.005468
3.9,0.005389
4.0,0.001457
4.1,0.004562
4.2,0.003991
4.3,0.003065
4.4,0.00101
4.5,0.000784
4.6,0.000616
4.7,0.001134
4.8,0.00083
4.9,0.000701
5.0,0.000872
