structure_id,run_name,target_T_K,final_T_K,deviation_pct
gb_Sigma3_t2,md_900K_20000steps,900,901.3,0.1
gb_Sigma3_t2_Li_vac_c1_s1,md_500K_20000steps,500,527.9,5.6
gb_Sigma3_t2_Li_vac_c1_s1,md_600K_20000steps,600,567.6,5.4
gb_Sigma3_t2_Li_vac_c1_s1,md_600K_50000steps,600,612.7,2.1
gb_Sigma3_t2_Li_vac_c1_s1,md_700K_20000steps,700,685.6,2.1
gb_Sigma3_t2_Li_vac_c1_s1,md_800K_20000steps,800,782.5,2.2
gb_Sigma3_t2_Li_vac_c1_s1,md_900K_20000steps,900,879.2,2.3
gb_Sigma3_t2_Li_vac_c1_s2,md_500K_20000steps,500,511.1,2.2
gb_Sigma3_t2_Li_vac_c1_s2,md_600K_20000steps,600,590.1,1.7
gb_Sigma3_t2_Li_vac_c1_s2,md_600K_50000steps,600,643.2,7.2
gb_Sigma3_t2_Li_vac_c1_s2,md_700K_20000steps,700,713.3,1.9
gb_Sigma3_t2_Li_vac_c1_s2,md_800K_20000steps,800,769.9,3.8
gb_Sigma3_t2_Li_vac_c1_s2,md_900K_20000steps,900,942.4,4.7
gb_Sigma3_t2_Li_vac_c2_s1,md_500K_20000steps,500,485.2,3.0
gb_Sigma3_t2_Li_vac_c2_s1,md_600K_20000steps,600,628.3,4.7
gb_Sigma3_t2_Li_vac_c2_s1,md_600K_50000steps,600,596.7,0.6
gb_Sigma3_t2_Li_vac_c2_s1,md_700K_20000steps,700,687.9,1.7
gb_Sigma3_t2_Li_vac_c2_s1,md_800K_20000steps,800,842.3,5.3
gb_Sigma3_t2_Li_vac_c2_s1,md_900K_20000steps,900,866.1,3.8
gb_Sigma3_t2_Li_vac_c2_s2,md_500K_20000steps,500,511.8,2.4
gb_Sigma3_t2_Li_vac_c2_s2,md_600K_20000steps,600,613.7,2.3
gb_Sigma3_t2_Li_vac_c2_s2,md_600K_50000steps,600,573.8,4.4
gb_Sigma3_t2_Li_vac_c2_s2,md_700K_20000steps,700,712.3,1.8
gb_Sigma3_t2_Li_vac_c2_s2,md_800K_20000steps,800,818.9,2.4
gb_Sigma3_t2_Li_vac_c2_s2,md_900K_20000steps,900,908.4,0.9
gb_Sigma3_t3,md_500K_20000steps,500,502.7,0.5
gb_Sigma3_t3,md_600K_20000steps,600,632.1,5.4
gb_Sigma3_t3,md_600K_50000steps,600,603.7,0.6
gb_Sigma3_t3,md_700K_20000steps,700,717.0,2.4
gb_Sigma3_t3,md_800K_20000steps,800,806.1,0.8
gb_Sigma3_t3,md_900K_20000steps,900,899.3,0.1
gb_Sigma3_t3_Li_vac_c1_s1,md_500K_20000steps,500,495.3,0.9
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_20000steps,600,614.5,2.4
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_50000steps,600,617.4,2.9
