frequency_THz,vdos
0.0,0.143908
0.1,0.070162
0.2,0.017979
0.3,0.019892
0.4,0.015704
0.5,0.028111
0.6,0.009005
0.7,0.010389
0.8,0.0174
0.9,0.018856
1.0,0.016484
1.1,0.036672
1.2,0.032642
1.3,0.043098
1.4,0.025753
1.5,0.008998
1.6,0.065099
1.7,0.089191
1.8,0.0434
1.9,0.023474
2.0,0.029672
2.1,0.04519
2.2,0.070595
2.3,0.035184
2.4,0.013165
2.5,0.038925
2.6,0.04373
2.7,0.021282
2.8,0.002887
2.9,0.014058
3.0,0.008639
3.1,0.028077
3.2,0.014887
3.3,0.010289
3.4,0.006969
3.5,0.025204
3.6,0.023137
3.7,0.008002
3.8,0.011773
3.9,0.00462
4.0,0.008552
4.1,0.009227
4.2,0.004009
4.3,0.005055
4.4,0.001222
4.5,0.001212
4.6,0.000625
4.7,0.001202
4.8,0.000592
4.9,0.000576
5.0,0.000747
