frequency_THz,vdos
0.0,0.055994
0.1,0.015438
0.2,0.021644
0.3,0.006887
0.4,0.018294
0.5,0.036122
0.6,0.047833
0.7,0.038682
0.8,0.066951
0.9,0.055387
1.0,0.047116
1.1,0.040062
1.2,0.023134
1.3,0.021324
1.4,0.045285
1.5,0.030042
1.6,0.032196
1.7,0.038488
1.8,0.02807
1.9,0.046169
2.0,0.020859
2.1,0.01591
2.2,0.018475
2.3,0.015985
2.4,0.024481
2.5,0.017361
2.6,0.008571
2.7,0.005285
2.8,0.007332
2.9,0.009386
3.0,0.0128
3.1,0.021181
3.2,0.023687
3.3,0.003882
3.4,0.001292
3.5,0.002731
3.6,0.011876
3.7,0.009408
3.8,0.009026
3.9,0.003986
4.0,0.002326
4.1,0.002848
4.2,0.003494
4.3,0.002394
4.4,0.001108
4.5,0.001673
4.6,0.000225
4.7,0.001844
4.8,0.000465
4.9,0.000705
5.0,0.00083
