structure_id,temperature_K,n_jumps,n_li,total_time_ps,jump_freq_per_li_per_ps,jumping_li_fraction,mean_jump_distance_A,std_jump_distance_A
gb_Sigma3_t2_Li_vac_c1_s1,700,2661,287,20.0,0.463589,1.0,1.7674,0.2522
gb_Sigma3_t2_Li_vac_c1_s1,800,3917,287,20.0,0.682404,1.0,1.7928,0.2658
gb_Sigma3_t2_Li_vac_c1_s1,900,5233,287,20.0,0.911672,1.0,1.8136,0.284
gb_Sigma3_t2_Li_vac_c1_s2,500,694,287,20.0,0.120906,0.8467,1.694,0.1785
gb_Sigma3_t2_Li_vac_c1_s2,600,1245,287,20.0,0.216899,0.9791,1.7202,0.2091
gb_Sigma3_t2_Li_vac_c1_s2,700,2227,287,20.0,0.387979,0.993,1.7463,0.2261
gb_Sigma3_t2_Li_vac_c1_s2,800,3663,287,20.0,0.638153,1.0,1.7752,0.2508
gb_Sigma3_t2_Li_vac_c1_s2,900,4758,287,20.0,0.82892,1.0,1.8047,0.2791
gb_Sigma3_t2_Li_vac_c2_s1,500,1073,286,20.0,0.187587,0.9615,1.7522,0.2622
gb_Sigma3_t2_Li_vac_c2_s1,600,1893,286,20.0,0.330944,1.0,1.7581,0.256
gb_Sigma3_t2_Li_vac_c2_s1,700,2838,286,20.0,0.496154,1.0,1.7705,0.255
gb_Sigma3_t2_Li_vac_c2_s1,800,4031,286,20.0,0.70472,1.0,1.8005,0.2773
gb_Sigma3_t2_Li_vac_c2_s1,900,5262,286,20.0,0.91993,1.0,1.8265,0.2943
gb_Sigma3_t2_Li_vac_c2_s2,500,1038,286,20.0,0.181469,0.965,1.7525,0.2783
gb_Sigma3_t2_Li_vac_c2_s2,600,1876,286,20.0,0.327972,0.9965,1.7581,0.2612
gb_Sigma3_t2_Li_vac_c2_s2,700,2720,286,20.0,0.475524,1.0,1.7717,0.2589
gb_Sigma3_t2_Li_vac_c2_s2,800,3942,286,20.0,0.689161,1.0,1.8018,0.2822
gb_Sigma3_t2_Li_vac_c2_s2,900,5267,286,20.0,0.920804,1.0,1.8226,0.3
gb_Sigma3_t3,500,622,288,20.0,0.107986,0.8646,1.6891,0.1798
gb_Sigma3_t3,600,1203,288,20.0,0.208854,0.9618,1.7236,0.2059
gb_Sigma3_t3,700,2246,288,20.0,0.389931,0.9965,1.75,0.2272
gb_Sigma3_t3,800,3223,288,20.0,0.559549,1.0,1.7663,0.2405
gb_Sigma3_t3,900,4430,288,20.0,0.769097,1.0,1.7968,0.27
gb_Sigma3_t3_Li_vac_c1_s1,500,595,287,20.0,0.103659,0.8293,1.6815,0.1594
gb_Sigma3_t3_Li_vac_c1_s1,600,1205,287,20.0,0.20993,0.9652,1.7064,0.1972
gb_Sigma3_t3_Li_vac_c1_s1,700,2163,287,20.0,0.376829,1.0,1.7426,0.2196
gb_Sigma3_t3_Li_vac_c1_s1,800,3221,287,20.0,0.56115,0.9965,1.7725,0.2497
gb_Sigma3_t3_Li_vac_c1_s1,900,4497,287,20.0,0.783449,1.0,1.8,0.2772
gb_Sigma3_t3_Li_vac_c1_s2,500,1131,287,20.0,0.197038,0.9617,1.7736,0.2868
gb_Sigma3_t3_Li_vac_c1_s2,600,2025,287,20.0,0.352787,0.9895,1.778,0.2978
gb_Sigma3_t3_Li_vac_c1_s2,700,2802,287,20.0,0.488153,1.0,1.8018,0.2989
gb_Sigma3_t3_Li_vac_c1_s2,800,3875,287,20.0,0.675087,1.0,1.8094,0.3033
gb_Sigma3_t3_Li_vac_c1_s2,900,5207,287,20.0,0.907143,1.0,1.8265,0.3047
gb_Sigma3_t3_Li_vac_c2_s1,500,1076,286,20.0,0.188112,0.9755,1.7765,0.3226
gb_Sigma3_t3_Li_vac_c2_s1,600,1911,286,20.0,0.334091,0.9965,1.7836,0.2921
gb_Sigma3_t3_Li_vac_c2_s1,700,2957,286,20.0,0.516958,1.0,1.7969,0.2972
gb_Sigma3_t3_Li_vac_c2_s1,800,4196,286,20.0,0.733566,1.0,1.8114,0.2959
gb_Sigma3_t3_Li_vac_c2_s1,900,5381,286,20.0,0.940734,1.0,1.83,0.3098
gb_Sigma3_t3_Li_vac_c2_s2,500,569,286,20.0,0.099476,0.8322,1.6831,0.1825
gb_Sigma3_t3_Li_vac_c2_s2,600,1151,286,20.0,0.201224,0.958,1.7079,0.1888
gb_Sigma3_t3_Li_vac_c2_s2,700,2084,286,20.0,0.364336,1.0,1.741,0.2205
gb_Sigma3_t3_Li_vac_c2_s2,800,3273,286,20.0,0.572203,1.0,1.7801,0.2558
gb_Sigma3_t3_Li_vac_c2_s2,900,4560,286,20.0,0.797203,1.0,1.7957,0.2658
