frequency_THz,vdos
0.0,0.044585
0.1,0.009224
0.2,0.011915
0.3,0.021106
0.4,0.027886
0.5,0.050655
0.6,0.016262
0.7,0.039999
0.8,0.030116
0.9,0.033936
1.0,0.0434
1.1,0.02716
1.2,0.014989
1.3,0.030748
1.4,0.030061
1.5,0.046777
1.6,0.04059
1.7,0.013947
1.8,0.00339
1.9,0.015902
2.0,0.01851
2.1,0.018443
2.2,0.002621
2.3,0.018063
2.4,0.007052
2.5,0.010874
2.6,0.014343
2.7,0.017203
2.8,0.00136
2.9,0.014089
3.0,0.013145
3.1,0.008402
3.2,0.019362
3.3,0.01819
3.4,0.006911
3.5,0.003297
3.6,0.005556
3.7,0.008162
3.8,0.007488
3.9,0.006419
4.0,0.004534
4.1,0.001058
4.2,0.00291
4.3,0.002419
4.4,0.001503
4.5,0.001953
4.6,0.000413
4.7,0.001067
4.8,0.0009
4.9,0.000744
5.0,0.000822
