frequency_THz,vdos
0.0,0.076136
0.1,0.046929
0.2,0.014996
0.3,0.00522
0.4,0.014807
0.5,0.016128
0.6,0.009328
0.7,0.015642
0.8,0.018151
0.9,0.027203
1.0,0.025637
1.1,0.022835
1.2,0.033041
1.3,0.028542
1.4,0.048761
1.5,0.037454
1.6,0.047953
1.7,0.051697
1.8,0.040123
1.9,0.021687
2.0,0.008653
2.1,0.004371
2.2,0.031808
2.3,0.041215
2.4,0.042435
2.5,0.059707
2.6,0.037705
2.7,0.020219
2.8,0.009235
2.9,0.010002
3.0,0.00356
3.1,0.010481
3.2,0.021134
3.3,0.033493
3.4,0.018884
3.5,0.00628
3.6,0.00194
3.7,0.004008
3.8,0.003585
3.9,0.001406
4.0,0.002169
4.1,0.005344
4.2,0.004941
4.3,0.002824
4.4,0.000701
4.5,0.001591
4.6,0.001139
4.7,0.000491
4.8,0.001195
4.9,0.000531
5.0,0.000791
