frequency_THz,vdos
0.0,0.059533
0.1,0.030014
0.2,0.022526
0.3,0.030642
0.4,0.032406
0.5,0.033981
0.6,0.016034
0.7,0.03979
0.8,0.032867
0.9,0.038628
1.0,0.017458
1.1,0.013892
1.2,0.031486
1.3,0.035241
1.4,0.017386
1.5,0.021391
1.6,0.023942
1.7,0.022101
1.8,0.054524
1.9,0.07284
2.0,0.063666
2.1,0.029853
2.2,0.024064
2.3,0.025476
2.4,0.006296
2.5,0.019664
2.6,0.023787
2.7,0.020919
2.8,0.007597
2.9,0.009226
3.0,0.02352
3.1,0.033262
3.2,0.020519
3.3,0.002331
3.4,0.005382
3.5,0.009949
3.6,0.015889
3.7,0.018243
3.8,0.010844
3.9,0.007673
4.0,0.005705
4.1,0.003217
4.2,0.000946
4.3,0.001264
4.4,0.002256
4.5,0.001232
4.6,0.000537
4.7,0.000131
4.8,0.001101
4.9,0.000808
5.0,0.00067
