frequency_THz,vdos
0.0,0.051958
0.1,0.025402
0.2,0.016963
0.3,0.029575
0.4,0.008047
0.5,0.007929
0.6,0.016268
0.7,0.02641
0.8,0.034777
0.9,0.042892
1.0,0.04707
1.1,0.013507
1.2,0.001805
1.3,0.007697
1.4,0.010062
1.5,0.029403
1.6,0.042028
1.7,0.032184
1.8,0.029671
1.9,0.035056
2.0,0.034926
2.1,0.040393
2.2,0.060912
2.3,0.045028
2.4,0.003565
2.5,0.035444
2.6,0.050911
2.7,0.045402
2.8,0.037825
2.9,0.027041
3.0,0.011877
3.1,0.013399
3.2,0.021921
3.3,0.028462
3.4,0.019214
3.5,0.01734
3.6,0.009734
3.7,0.002044
3.8,0.010095
3.9,0.009316
4.0,0.008362
4.1,0.006526
4.2,0.007138
4.3,0.004069
4.4,0.002658
4.5,0.001454
4.6,0.000391
4.7,0.001048
4.8,0.000597
4.9,0.000745
5.0,0.000862
