frequency_THz,vdos
0.0,0.057788
0.1,0.013251
0.2,0.023672
0.3,0.016621
0.4,0.017654
0.5,0.017711
0.6,0.04441
0.7,0.05985
0.8,0.028591
0.9,0.024889
1.0,0.052274
1.1,0.048823
1.2,0.02426
1.3,0.025567
1.4,0.056769
1.5,0.036747
1.6,0.052571
1.7,0.05224
1.8,0.030692
1.9,0.007471
2.0,0.024689
2.1,0.002629
2.2,0.037801
2.3,0.029546
2.4,0.020757
2.5,0.020752
2.6,0.026614
2.7,0.02294
2.8,0.021188
2.9,0.025516
3.0,0.027059
3.1,0.015422
3.2,0.008827
3.3,0.010429
3.4,0.005085
3.5,0.011381
3.6,0.01843
3.7,0.012208
3.8,0.002924
3.9,0.007583
4.0,0.006711
4.1,0.004327
4.2,0.002523
4.3,0.000227
4.4,0.001805
4.5,0.001395
4.6,0.000638
4.7,0.000496
4.8,0.000939
4.9,0.000799
5.0,0.000746
