frequency_THz,vdos
0.0,0.050379
0.1,0.012703
0.2,0.018505
0.3,0.019816
0.4,0.036733
0.5,0.013716
0.6,0.031129
0.7,0.060722
0.8,0.05404
0.9,0.030007
1.0,0.021424
1.1,0.04073
1.2,0.042908
1.3,0.030222
1.4,0.04503
1.5,0.041279
1.6,0.019214
1.7,0.019919
1.8,0.03793
1.9,0.015554
2.0,0.003454
2.1,0.016237
2.2,0.04722
2.3,0.038936
2.4,0.011848
2.5,0.010604
2.6,0.008666
2.7,0.007223
2.8,0.013332
2.9,0.009031
3.0,0.0112
3.1,0.01168
3.2,0.009458
3.3,0.00819
3.4,0.008254
3.5,0.007118
3.6,0.005207
3.7,0.00592
3.8,0.00857
3.9,0.006051
4.0,0.005713
4.1,0.001561
4.2,0.004417
4.3,0.001967
4.4,0.000671
4.5,0.002088
4.6,0.000755
4.7,0.000599
4.8,0.001105
4.9,0.00062
5.0,0.000716
