frequency_THz,vdos
0.0,0.139237
0.1,0.05738
0.2,0.022538
0.3,0.023207
0.4,0.020916
0.5,0.009513
0.6,0.011829
0.7,0.032843
0.8,0.039867
0.9,0.035533
1.0,0.048576
1.1,0.03753
1.2,0.072735
1.3,0.095506
1.4,0.088502
1.5,0.039821
1.6,0.032137
1.7,0.021428
1.8,0.03565
1.9,0.037506
2.0,0.020092
2.1,0.028993
2.2,0.018191
2.3,0.005428
2.4,0.008058
2.5,0.025541
2.6,0.021341
2.7,0.010972
2.8,0.020217
2.9,0.018069
3.0,0.005857
3.1,0.012163
3.2,0.009423
3.3,0.003553
3.4,0.006563
3.5,0.011929
3.6,0.003595
3.7,0.002712
3.8,0.006474
3.9,0.010591
4.0,0.006087
4.1,0.000948
4.2,0.002779
4.3,0.001591
4.4,0.00185
4.5,0.000753
4.6,0.001455
4.7,0.000479
4.8,0.001
4.9,0.000735
5.0,0.000652
