time_ps,msd_A2
0.0,0.0
0.1,0.1901755348325978
0.2,0.41705595883268
0.3,0.5973036099486452
0.4,0.7236018996694377
0.5,0.8187014604419184
0.6,0.9185075164558182
0.7,1.0058520668580182
0.8,1.1027508184597417
0.9,1.2036888332316402
1.0,1.32433547298416
1.1,1.3643688333469552
1.2,1.406109988206864
1.3,1.4998616590712248
1.4,1.656739079782896
1.5,1.7463608667762005
1.6,1.746604838172712
1.7,1.763206695292638
1.8,1.83712749689574
1.9,1.956808277549165
2.0,2.1542398300359715
2.1,2.346589564624724
2.2,2.2757339433519315
2.3,2.235276553709931
2.4,2.3121377554274285
2.5,2.3403769253102817
2.6,2.4563828947486592
2.7,2.5246964769410725
2.8,2.6266964907426407
2.9,2.672341921181968
3.0,2.989258390112336
3.1,3.1316917156901742
3.2,3.160104463332637
3.3,3.3418037120243094
3.4,3.346100643851582
3.5,3.479925015005759
3.6,3.4012236299803504
3.7,3.5763517877716797
3.8,3.607948011451809
3.9,3.681648411032112
4.0,3.768332632751618
4.1,3.705035152430031
4.2,3.653344295328171
4.3,3.719044778749806
4.4,3.912594351769657
4.5,3.83698280271008
4.6,3.9145355367345553
4.7,3.8755426541540094
4.8,3.951149991531529
4.9,4.331440355129405
5.0,4.463258213164336
5.1,4.524020112672597
5.2,4.785222459653565
5.3,4.732029751456487
5.4,4.705843942479007
5.5,4.667236720566019
5.6,4.783926392739753
5.7,4.940940862258635
5.8,4.892227779494312
5.9,4.957274570880391
6.0,5.021214805297578
6.1,5.183973819323037
6.2,5.340235940548954
6.3,5.322270410488643
6.4,5.423405318695736
6.5,5.557329247834328
6.6,5.457298843853746
6.7,5.430640537323106
6.8,5.23650207463243
6.9,5.388560224168309
7.0,5.524387355753536
7.1,5.354013639979414
7.2,5.431372020361749
7.3,5.434073615927465
7.4,5.469108128224133
7.5,5.9195882958972845
7.6,5.823980007446181
7.7,5.709466218551049
7.8,5.8829960450175065
7.9,5.871003435241803
8.0,6.177419162406671
8.1,6.269125897803236
8.2,6.440508088232058
8.3,6.299978717698947
8.4,6.437486802984758
8.5,6.518552350790088
8.6,6.802745902525162
8.7,6.800390209412567
8.8,6.970880549853548
8.9,7.029704229678108
9.0,6.977237320864076
9.1,6.955132136285052
9.2,7.320710463574462
9.3,7.430286654330518
9.4,7.497352795260073
9.5,7.477843147426111
9.6,7.246916705880111
9.7,7.370858818498176
9.8,7.421856220000794
9.9,7.364496899521242
10.0,7.711740742909474
10.1,7.930381383259313
10.2,8.096271555312047
10.3,7.977954444213541
10.4,8.182388847133938
10.5,8.215429610518
10.6,8.499658298999158
10.7,8.588444191481612
10.8,8.488194417105955
10.9,8.462875127509596
11.0,8.426242797442832
11.1,8.492435084077142
11.2,8.516192508800142
11.3,8.67800914493018
11.4,8.54896874271914
11.5,8.37800736520598
11.6,8.42696841801801
11.7,8.638841888213332
11.8,8.651802076052784
11.9,8.862059998803158
12.0,8.69629329142305
12.1,8.778750856564157
12.2,8.613297954639581
12.3,8.624802506379957
12.4,8.481696585893383
12.5,8.348260763545472
12.6,8.330053046119767
12.7,8.242952771717682
12.8,8.225221434453719
12.9,8.391574219758335
13.0,8.28954614482591
13.1,8.373868581598233
13.2,8.241539062726313
13.3,8.281351862939232
13.4,8.416274443368007
13.5,8.343748895002516
13.6,8.444453050184416
13.7,8.596395353542572
13.8,8.911628072211037
13.9,8.9645939431664
14.0,8.988373353210052
14.1,9.058253361595304
14.2,9.196362157006511
14.3,9.24688640691826
14.4,9.297551914086045
14.5,9.06385517149447
14.6,9.13477063347224
14.7,9.32952176683014
14.8,9.316025551363625
14.9,9.24540398973277
15.0,9.204296974386908
15.1,9.157334140994136
15.2,9.13688074160552
15.3,9.544232396945224
15.4,9.45154718170063
15.5,9.209476995853771
15.6,9.228764208854022
15.7,9.380184499381013
15.8,9.762836428953507
15.9,9.576838507258266
16.0,9.486831996268076
16.1,9.38625980685545
16.2,9.47591052301807
16.3,9.326110837237716
16.4,9.42315974542976
16.5,9.478253917511555
16.6,9.581080970850156
16.7,9.505272270520694
16.8,9.591987223741292
16.9,9.731433425573645
17.0,9.856780465193768
17.1,9.921024585060012
17.2,9.94670492694068
17.3,10.00744329769311
17.4,9.914788525605756
17.5,9.932846129268531
17.6,10.06538481862944
17.7,10.207908738422551
17.8,10.170956125528011
17.9,10.034808636415187
18.0,10.407495473724037
18.1,10.630803390035917
18.2,10.691654452902911
18.3,10.62649073473361
18.4,10.50022616927408
18.5,10.588685975439754
18.6,10.673650267547446
18.7,10.721752385809358
18.8,10.816542353895256
18.9,10.738420788748837
19.0,10.70876204740415
19.1,10.98846279171779
19.2,11.141500517932254
19.3,11.027764773747068
19.4,10.85621745004691
19.5,10.8319215138966
19.6,10.94431456184066
19.7,10.946460228489682
19.8,11.190167846914347
20.0,11.261558159368068
