frequency_THz,vdos
0.0,0.057429
0.1,0.017333
0.2,0.013379
0.3,0.012465
0.4,0.022523
0.5,0.023237
0.6,0.029885
0.7,0.006168
0.8,0.028161
0.9,0.014715
1.0,0.005702
1.1,0.044332
1.2,0.035241
1.3,0.016738
1.4,0.013625
1.5,0.00727
1.6,0.037276
1.7,0.056229
1.8,0.046519
1.9,0.039637
2.0,0.024041
2.1,0.015969
2.2,0.007608
2.3,0.013805
2.4,0.029912
2.5,0.039692
2.6,0.022186
2.7,0.022389
2.8,0.02686
2.9,0.017539
3.0,0.004697
3.1,0.014887
3.2,0.006121
3.3,0.007805
3.4,0.009386
3.5,0.004235
3.6,0.006934
3.7,0.012398
3.8,0.007918
3.9,0.006481
4.0,0.001827
4.1,0.004852
4.2,0.004504
4.3,0.002866
4.4,0.000831
4.5,0.001376
4.6,0.000283
4.7,0.000978
4.8,0.000803
4.9,0.000706
5.0,0.000745
