time_ps,msd_A2
0.0,0.0
0.1,0.2411599469140904
0.2,0.371676298868964
0.3,0.5656953284682805
0.4,0.6517672710199107
0.5,0.7405986314832027
0.6,0.8855111772293426
0.7,0.9747750104561425
0.8,1.1277501481178391
0.9,1.334256484749842
1.0,1.4801596355389592
1.1,1.618655984520643
1.2,1.7676716938527344
1.3,1.8879766529829525
1.4,1.8758943128384613
1.5,1.8941097406296257
1.6,2.00207408655441
1.7,2.16635805797313
1.8,2.305352018355047
1.9,2.4000567885190978
2.0,2.379272412316277
2.1,2.461415503568767
2.2,2.413888715080447
2.3,2.370362543383853
2.4,2.4730855247023573
2.5,2.570424034569339
2.6,2.607255918536932
2.7,2.7194101381163835
2.8,2.9203688682815776
2.9,2.9424389169617475
3.0,3.057649271723857
3.1,3.0728109583918264
3.2,3.197687105697145
3.3,3.300181641461409
3.4,3.6642363593089526
3.5,3.732538457236138
3.6,3.945847715552115
3.7,4.046854518549216
3.8,4.239440445326671
3.9,4.33749141191168
4.0,4.341278261630907
4.1,4.548970931529667
4.2,4.573390125108042
4.3,4.569202170296229
4.4,4.689573910336555
4.5,4.910164305828958
4.6,4.731673874522359
4.7,4.90829645446615
4.8,5.113181498518269
4.9,5.267225259586246
5.0,5.332408381413908
5.1,5.445341933643787
5.2,5.388210543169355
5.3,5.674795961108744
5.4,5.667927022585369
5.5,5.617116171733641
5.6,6.021943833840238
5.7,6.118291933683944
5.8,5.827749886032674
5.9,6.141008977880472
6.0,5.938963627128136
6.1,6.031072375759356
6.2,6.211372311007038
6.3,6.306695440625401
6.4,6.444677793586691
6.5,6.419984481112568
6.6,6.614217474428995
6.7,6.659461707774813
6.8,6.632418817262673
6.9,6.896802410902903
7.0,6.887501891425185
7.1,6.959556902289152
7.2,6.8933285303280885
7.3,7.058186459270908
7.4,7.137589933092628
7.5,6.994415608161609
7.6,7.1854021970632775
7.7,7.162642294082231
7.8,7.370139634814418
7.9,7.553670037989282
8.0,7.698440391882667
8.1,7.994095616590594
8.2,7.896541059446515
8.3,8.000154955347199
8.4,7.956213761318032
8.5,7.922856465493239
8.6,7.650820228628498
8.7,7.607147533997102
8.8,7.581357738280262
8.9,7.442984778893606
9.0,7.362560870334569
9.1,7.594660718058299
9.2,7.692254564724867
9.3,7.851771661878838
9.4,8.213478177121837
9.5,8.3704203173281
9.6,8.31295072130882
9.7,8.38619005378737
9.8,8.321940213276715
9.9,8.446761398403748
10.0,8.723047112725657
10.1,8.738843240077317
10.2,8.828770439919412
10.3,8.854162871817636
10.4,8.83894910615759
10.5,8.766979797444826
10.6,8.696301657455091
10.7,8.912280636566596
10.8,9.111596258933806
10.9,8.965599261913066
11.0,9.003754398649239
11.1,8.942221444434185
11.2,8.94687459517239
11.3,8.888419018525248
11.4,8.95775820892006
11.5,8.86418658918796
11.6,8.960538870497793
11.7,8.948965416498401
11.8,8.98481770962023
11.9,8.95430684511024
12.0,9.034967512613305
12.1,9.18720123743802
12.2,8.981332208966954
12.3,9.167638756917253
12.4,9.182924338757196
12.5,9.258392330269158
12.6,9.175945944146816
12.7,9.332472156883618
12.8,9.49753598987492
12.9,9.571198438373694
13.0,9.667064232474583
13.1,9.802796407644523
13.2,9.889327327802423
13.3,9.96206542564468
13.4,10.165466282232174
13.5,10.096734109584036
13.6,10.381616818368636
13.7,10.300024303012735
13.8,10.195427564279283
13.9,10.263056754314873
14.0,10.377359906315078
14.1,10.444619697890603
14.2,10.484227564069172
14.3,10.762543003392636
14.4,10.89994826105961
14.5,10.823540791625245
14.6,10.70706627050209
14.7,11.15422246999757
14.8,11.086023774197573
14.9,11.04344573759568
15.0,11.19472271231309
15.1,10.951055402718376
15.2,11.258702820314978
15.3,11.118342286881305
15.4,10.709898550733516
15.5,10.84546346956687
15.6,11.008403883798117
15.7,11.204842837513068
15.8,10.993610951095151
15.9,11.187025541086454
16.0,11.385187814620098
16.1,11.31752884804228
16.2,11.075859904275518
16.3,11.08183503201242
16.4,11.368375659017714
16.5,11.430890271428916
16.6,11.686470183922324
16.7,11.984228100213812
16.8,11.9203606792938
16.9,11.51215523666824
17.0,11.441500830557668
17.1,11.545318645358714
17.2,11.477529618341078
17.3,11.42506666768952
17.4,11.520629732815872
17.5,11.524736847940824
17.6,11.612156086504822
17.7,11.374452466518994
17.8,11.438555446471248
17.9,11.443165540964024
18.0,11.465229644449218
18.1,11.2933413608459
18.2,11.420964126840326
18.3,11.371760562858965
18.4,11.680767468488789
18.5,11.705864305887866
18.6,11.679838694049645
18.7,11.73367077840921
18.8,12.023929439539776
18.9,12.090145046857469
19.0,12.120471507113727
19.1,12.38113173894557
19.2,12.342179848329446
19.3,12.479071058189914
19.4,12.406979357600717
19.5,12.254975454058084
19.6,12.298108253260995
19.7,12.39259461952993
19.8,12.550077931522656
20.0,12.318932839895169
