frequency_THz,vdos
0.0,0.042337
0.1,0.010279
0.2,0.009418
0.3,0.015335
0.4,0.011935
0.5,0.016607
0.6,0.015706
0.7,0.011764
0.8,0.025263
0.9,0.015817
1.0,0.03234
1.1,0.032814
1.2,0.009387
1.3,0.016345
1.4,0.014566
1.5,0.004967
1.6,0.02463
1.7,0.02198
1.8,0.042472
1.9,0.040666
2.0,0.023547
2.1,0.018235
2.2,0.039981
2.3,0.046487
2.4,0.038647
2.5,0.019774
2.6,0.013355
2.7,0.022275
2.8,0.014721
2.9,0.008978
3.0,0.01032
3.1,0.02073
3.2,0.009698
3.3,0.007396
3.4,0.005812
3.5,0.003435
3.6,0.006058
3.7,0.004164
3.8,0.001512
3.9,0.004017
4.0,0.002092
4.1,0.000801
4.2,0.001936
4.3,0.001293
4.4,0.000528
4.5,0.000728
4.6,0.001219
4.7,0.000503
4.8,0.001101
4.9,0.000809
5.0,0.000667
