frequency_THz,vdos
0.0,0.077671
0.1,0.025951
0.2,0.02516
0.3,0.008272
0.4,0.01205
0.5,0.012163
0.6,0.022252
0.7,0.033008
0.8,0.024634
0.9,0.047253
1.0,0.042712
1.1,0.046253
1.2,0.034992
1.3,0.033115
1.4,0.006499
1.5,0.038735
1.6,0.053738
1.7,0.066264
1.8,0.052888
1.9,0.031993
2.0,0.045536
2.1,0.036595
2.2,0.019574
2.3,0.014971
2.4,0.02023
2.5,0.029836
2.6,0.023619
2.7,0.010181
2.8,0.026828
2.9,0.024042
3.0,0.001838
3.1,0.02376
3.2,0.023611
3.3,0.013825
3.4,0.015591
3.5,0.013802
3.6,0.009328
3.7,0.009812
3.8,0.008426
3.9,0.007074
4.0,0.005284
4.1,0.004955
4.2,0.002561
4.3,0.002444
4.4,0.00246
4.5,0.000803
4.6,0.001561
4.7,0.000526
4.8,0.001093
4.9,0.000674
5.0,0.000739
