frequency_THz,vdos
0.0,0.122589
0.1,0.046967
0.2,0.024468
0.3,0.01999
0.4,0.035218
0.5,0.032978
0.6,0.017892
0.7,0.014424
0.8,0.044372
0.9,0.027293
1.0,0.080468
1.1,0.028198
1.2,0.040422
1.3,0.044091
1.4,0.05623
1.5,0.074601
1.6,0.071929
1.7,0.046871
1.8,0.036834
1.9,0.021034
2.0,0.026807
2.1,0.012512
2.2,0.025929
2.3,0.042742
2.4,0.052659
2.5,0.05781
2.6,0.038206
2.7,0.032602
2.8,0.015698
2.9,0.011013
3.0,0.018233
3.1,0.008271
3.2,0.007851
3.3,0.013236
3.4,0.016401
3.5,0.006029
3.6,0.007258
3.7,0.011388
3.8,0.009719
3.9,0.003131
4.0,0.005623
4.1,0.00231
4.2,0.003617
4.3,0.003888
4.4,0.003282
4.5,0.00068
4.6,0.000235
4.7,0.001551
4.8,0.000247
4.9,0.000713
5.0,0.000771
