time_ps,msd_A2
0.0,0.0
0.1,0.8614499140314834
0.2,1.1283996517647512
0.3,1.1112863049116264
0.4,1.347384424171497
0.5,1.615542110300422
0.6,1.851259608810144
0.7,2.206493297427561
0.8,2.128520699750172
0.9,2.25713473839359
1.0,2.4362654989062933
1.1,2.629621703434364
1.2,2.7655948515094635
1.3,2.878639521060111
1.4,3.1288928738016857
1.5,3.405348016611987
1.6,3.6035120699502303
1.7,3.609227639266758
1.8,3.842864732536485
1.9,3.9734051218375694
2.0,4.334312106745581
2.1,4.919596841889484
2.2,5.134274078263448
2.3,5.449194923956347
2.4,5.46442866496804
2.5,5.444431424170351
2.6,5.664769496725341
2.7,5.850675495700684
2.8,6.2959032806892585
2.9,6.468762487074776
3.0,6.662436251187391
3.1,6.59450093990521
3.2,6.714307452179384
3.3,6.705226431848703
3.4,7.094732882621451
3.5,7.400606827981569
3.6,7.145585037715974
3.7,7.107477960969092
3.8,7.383922688426689
3.9,7.266343254966666
4.0,7.061335729923775
4.1,7.166882756362945
4.2,7.542386841043485
4.3,7.482663744943679
4.4,7.397642303204627
4.5,7.379097853856101
4.6,7.780938765429703
4.7,8.247322305117656
4.8,8.43534603611352
4.9,8.884373047234314
5.0,8.642411749445431
5.1,8.815473474265147
5.2,8.992700696107608
5.3,8.709306222676764
5.4,9.100410581935051
5.5,9.333668630412678
5.6,9.52130895073883
5.7,9.95607683241718
5.8,10.085083359088834
5.9,10.177580406993416
6.0,10.334867407097247
6.1,10.283915732627673
6.2,10.693173946202814
6.3,10.792444754417994
6.4,10.866954918107846
6.5,10.924449311744704
6.6,11.080234677920997
6.7,11.328984615960168
6.8,11.123063818837116
6.9,11.2278929575815
7.0,11.39535910017692
7.1,11.519196808561157
7.2,11.26962728141813
7.3,11.444968552850035
7.4,11.282276827867674
7.5,11.549711259390085
7.6,11.602816818377738
7.7,11.886287185894483
7.8,11.687065094848208
7.9,12.07652905826769
8.0,11.875856708106316
8.1,12.20353534412383
8.2,12.509843771556476
8.3,12.834171842348216
8.4,12.72297283983813
8.5,12.932067850828169
8.6,12.746703167451733
8.7,13.158384399597177
8.8,13.306035780328129
8.9,13.512893090864656
9.0,13.735934570295598
9.1,14.038901883900758
9.2,14.20745503410546
9.3,14.336430917501437
9.4,14.639215885080786
9.5,14.850721994587763
9.6,14.975904146998914
9.7,15.16346478843885
9.8,15.241790416175776
9.9,15.8744591914636
10.0,15.823734129111076
10.1,16.281594172748182
10.2,16.23662173524969
10.3,16.241918390147607
10.4,16.401519829624984
10.5,16.86966247126804
10.6,16.314715665414408
10.7,16.563668306555737
10.8,16.77053402752748
10.9,17.07822925254894
11.0,16.824255712130757
11.1,16.796907474335097
11.2,17.189865509223974
11.3,17.14853347818668
11.4,17.339736030739893
11.5,17.080914382842508
11.6,17.743858417352488
11.7,17.619037539064617
11.8,17.813690848754018
11.9,18.713234626888408
12.0,18.41591256469772
12.1,18.85324010251104
12.2,19.36954098680369
12.3,19.184064860162945
12.4,19.15380585286231
12.5,19.54831558098952
12.6,19.146134672345976
12.7,18.60513113598125
12.8,18.766013955250973
12.9,19.45030573443953
13.0,19.801294491839005
13.1,20.424759049680443
13.2,20.242326170303844
13.3,20.82841348715856
13.4,20.85701909368744
13.5,20.50247422455733
13.6,20.38554667214161
13.7,21.155124081981757
13.8,21.55525020664291
13.9,21.95196652258757
14.0,22.368443593021528
14.1,22.63548098259528
14.2,22.31875342548247
14.3,22.3924432103574
14.4,22.55955633227645
14.5,22.348344676263554
14.6,22.79840129896881
14.7,22.86850306827291
14.8,23.493849621721992
14.9,24.21765383245834
15.0,23.97398922431964
15.1,23.531778305161463
15.2,23.4641653688539
15.3,23.50923849477693
15.4,23.77785569553604
15.5,23.35699797789437
15.6,23.017966948746164
15.7,22.8740982208092
15.8,22.718213927507577
15.9,22.53303594916675
16.0,22.89292301397145
16.1,23.0202031057364
16.2,23.797030640488497
16.3,23.750235191925366
16.4,23.894281794172816
16.5,24.006152665227773
16.6,24.587579764469115
16.7,24.14152196818445
16.8,24.394282217081184
16.9,23.968178434333435
17.0,24.12408863435636
17.1,24.181194692909266
17.2,24.731589695483645
17.3,25.312558810085097
17.4,25.442343890299103
17.5,24.482214663203557
17.6,25.21731217375186
17.7,24.74307625503737
17.8,25.34687854779575
17.9,25.686971256997094
18.0,25.66239096554553
18.1,26.06227016068338
18.2,25.738019089044613
18.3,26.011536301081737
18.4,26.69594523560224
18.5,26.855042750447836
18.6,26.999355073021395
18.7,27.70238416796327
18.8,28.44311534736975
18.9,28.705070201451203
19.0,28.288808068407445
19.1,28.256348820425035
19.2,28.55870883564388
19.3,28.892731859389425
19.4,29.065379803870968
19.5,29.394180305932167
19.6,29.72709156052907
19.7,30.11427858553901
19.8,30.669353850147385
20.0,31.72654929850667
