frequency_THz,vdos
0.0,0.0471
0.1,0.018361
0.2,0.006817
0.3,0.021277
0.4,0.030319
0.5,0.045114
0.6,0.034958
0.7,0.025919
0.8,0.019471
0.9,0.013211
1.0,0.004678
1.1,0.011517
1.2,0.01632
1.3,0.033229
1.4,0.035293
1.5,0.036501
1.6,0.02415
1.7,0.027581
1.8,0.033913
1.9,0.022674
2.0,0.025546
2.1,0.03694
2.2,0.030939
2.3,0.033013
2.4,0.024637
2.5,0.019097
2.6,0.010429
2.7,0.012287
2.8,0.013834
2.9,0.005935
3.0,0.014752
3.1,0.022648
3.2,0.014827
3.3,0.015633
3.4,0.013811
3.5,0.001622
3.6,0.006253
3.7,0.01147
3.8,0.003105
3.9,0.001389
4.0,0.000325
4.1,0.002852
4.2,0.001166
4.3,0.000416
4.4,0.003223
4.5,0.000547
4.6,0.000769
4.7,0.00082
4.8,0.000852
4.9,0.000776
5.0,0.000734
