r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.965052
2.025,16.064744
2.075,50.271115
2.125,3.334494
2.175,2.785084
2.225,0.380189
2.275,0.0
2.325,0.0
2.375,0.0
2.425,0.0
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.0
2.675,0.0
2.725,0.0
2.775,0.0
2.825,0.0
2.875,0.0
2.925,0.0
2.975,0.0
3.025,0.0
3.075,0.0
3.125,0.0
3.175,0.0
3.225,0.0
3.275,0.526463
3.325,0.851249
3.375,0.0
3.425,0.160453
3.475,0.155869
3.525,0.0
3.575,0.736358
3.625,0.286474
3.675,0.0
3.725,0.0
3.775,1.056641
3.825,0.900548
3.875,0.376054
3.925,0.488712
3.975,0.357371
4.025,0.697095
4.075,0.566744
4.125,0.995559
4.175,0.0
4.225,0.0
4.275,0.205983
4.325,0.804991
4.375,0.885033
4.425,2.1148
4.475,4.041623
4.525,2.573916
4.575,0.629491
4.625,0.527961
4.675,0.947334
4.725,0.50585
4.775,0.165104
4.825,0.1617
4.875,0.1584
4.925,0.0776
4.975,0.456288
5.025,0.596338
5.075,0.146161
5.125,0.071662
5.175,0.210851
5.225,0.689449
5.275,1.014661
5.325,0.862936
5.375,0.781806
5.425,1.023282
5.475,0.8163
5.525,0.431627
5.575,0.968959
5.625,2.379523
5.675,3.857334
5.725,4.249676
5.775,3.950656
5.825,2.829134
5.875,1.199726
5.925,0.482549
5.975,0.527229
6.025,0.311109
6.075,0.204006
6.125,0.401378
6.175,0.148089
6.225,0.194293
6.275,0.43022
6.325,0.329346
6.375,0.3242
6.425,0.273578
6.475,0.269369
6.525,0.0
6.575,0.174158
6.625,0.042885
6.675,0.253469
6.725,0.208095
6.775,0.574097
6.825,0.444491
6.875,0.398227
6.925,0.392497
6.975,0.657713
7.025,0.419543
7.075,0.376031
7.125,0.926929
7.175,0.804368
7.225,0.829332
7.275,0.746843
7.325,0.771762
7.375,0.96897
7.425,2.048493
7.475,3.166516
7.525,4.022061
7.575,3.772323
7.625,3.043158
7.675,2.300658
7.725,2.144807
7.775,1.21434
7.825,1.16813
7.875,0.728428
7.925,0.449541
7.975,0.769464
